customer_id,customer_name,email,phone,city,state,region,customer_type,registration_date
1,Brian Yang,johnsonjoshua@example.org,+1-219-560-0133,Robinsonshire,Louisiana,NORTH,VIP,2021-08-27
2,Phillip Garcia,helenpeterson@example.org,(615)759-4078x1618,Lake Chad,Texas,SOUTH,REGULAR,2023-07-16
3,Mark Diaz,tracie31@example.com,(653)541-9283x276,Meganton,Iowa,NORTH,VIP,2021-11-14
4,Emily Rios,richard13@example.net,(772)542-3884x9696,New Trevor,Wisconsin,NORTH,REGULAR,2021-12-31
5,Arthur James,hernandezernest@example.net,484.980.1845x146,Lake Nancyview,North Carolina,NORTH,VIP,2023-02-13
6,Christina Brooks,harrellkenneth@example.net,(788)609-5701,North John,Oregon,WEST,REGULAR,2022-04-08
7,Betty Alvarez,dennislisa@example.net,+1-624-889-6383,Samuelhaven,New Hampshire,EAST,REGULAR,2022-08-17
8,Leah Smith,jeffreymorgan@example.net,001-403-910-5183x473,Port Thomas,Nebraska,SOUTH,VIP,2023-03-21
9,Scott Brown,davisryan@example.com,+1-410-665-1333x8726,Wrightland,New Hampshire,EAST,REGULAR,2026-04-12
10,Tammy Allison,williamsyvette@example.org,(267)873-6026,Saramouth,Maine,EAST,REGULAR,2025-03-13
11,Lauren Daniels,smoore@example.org,001-350-309-7882x0812,South David,Oregon,NORTH,PREMIUM,2023-09-10
12,Emily Green,harveyrobert@example.net,+1-353-346-2475x10799,New Joseph,Minnesota,EAST,REGULAR,2022-03-08
13,Lisa Archer,mikemoore@example.net,+1-680-584-1241x1824,Jamesview,North Carolina,NORTH,PREMIUM,2025-10-02
14,Donald Smith,rebecca01@example.net,001-724-427-8680x11280,Andersonport,Mississippi,EAST,VIP,2021-12-08
15,Stacey Russell,jason31@example.com,+1-423-322-6025x634,Brennanfort,Iowa,EAST,VIP,2023-04-19
16,Matthew Ross,ybailey@example.org,614-258-6850x142,New Ryanmouth,Nevada,NORTH,REGULAR,2025-12-12
17,Jeffrey Meyer,cruzbarbara@example.com,+1-635-661-5951,Nguyenport,Oklahoma,EAST,REGULAR,2022-09-06
18,Carrie Carroll,robertbentley@example.net,(580)944-3699x5777,Lake Christopher,North Carolina,NORTH,PREMIUM,2024-06-13
19,Robert Hernandez,cardenaskaren@example.net,8379917693,Sancheztown,Wisconsin,EAST,REGULAR,2022-07-04
20,Amber Wright,zrobinson@example.net,872-978-8957,Lake Michelle,New Hampshire,SOUTH,VIP,2023-10-21
21,Mr. Jeremiah Reeves,maryramirez@example.net,845.458.1223,North Robert,Michigan,NORTH,VIP,2026-03-19
22,Randy Shah,nperry@example.com,5969705466,West Ryan,Alaska,SOUTH,REGULAR,2024-11-27
23,Veronica Ferguson,elizabeth62@example.com,(599)901-6272x0465,Matthewfurt,Louisiana,EAST,VIP,2025-03-08
24,Zoe Bell,mary70@example.net,+1-510-903-3092x3271,Katieburgh,Rhode Island,SOUTH,VIP,2022-07-28
25,Laura Odonnell,tamirodriguez@example.org,(863)719-3149x1905,New Deborahtown,Nebraska,NORTH,REGULAR,2025-10-08
26,Jessica Gross,hamiltonmichael@example.com,+1-949-587-7694x5314,Hudsonfurt,Michigan,EAST,PREMIUM,2021-11-04
27,Robert Peterson,lrosales@example.com,+1-948-908-3136x783,Mcguireland,Maine,SOUTH,VIP,2023-06-26
28,Kara Schmidt,tholt@example.net,(485)557-4443x13518,Lake Todd,Washington,EAST,REGULAR,2026-01-22
29,Eric Erickson,tina34@example.org,(240)608-4271,Mendozamouth,Idaho,WEST,VIP,2022-01-13
30,Benjamin Soto,shelley71@example.org,8225941318,Hayesmouth,Maryland,EAST,REGULAR,2025-03-31
31,Phillip Garrett,ashley09@example.net,912-632-8120x679,East Keithport,Vermont,EAST,VIP,2025-06-17
32,Regina Gonzalez,mcdanielsandra@example.net,683-624-2102,Martinezport,Vermont,WEST,PREMIUM,2025-01-08
33,Stacy Navarro,vincent77@example.org,+1-940-913-9904x902,Howardshire,Nevada,SOUTH,VIP,2025-10-12
34,Shannon Rivera,harrisonricky@example.com,001-874-268-0715x451,Gutierrezborough,North Dakota,NORTH,REGULAR,2024-09-04
35,Joshua Pennington,wgarrett@example.org,371.509.3248x086,South Staceyberg,New York,SOUTH,VIP,2024-01-30
36,Charles Lee,robert77@example.org,+1-982-414-6584x044,Ryanstad,Michigan,NORTH,PREMIUM,2026-04-17
37,Mrs. Janet Chase,ugibson@example.org,(905)376-6270x28951,Smithberg,Nebraska,WEST,VIP,2022-11-29
38,Jennifer Miller,harrisontanya@example.com,386-357-8091x34316,Jacksonport,Alaska,NORTH,VIP,2021-12-27
39,David Jenkins,laura45@example.com,+1-622-921-9693x79237,Elizabethmouth,Maine,EAST,VIP,2026-04-01
40,Victor Vaughn,charleslandry@example.net,643.267.1369x594,Hillshire,Utah,EAST,PREMIUM,2022-01-06
41,Heather Fields,swall@example.org,+1-642-710-4709x521,Thompsonberg,Ohio,NORTH,VIP,2024-09-16
42,Gina Wilson,maria47@example.com,623-368-5160,Richardsonview,Pennsylvania,EAST,VIP,2024-11-02
43,Terri Murphy,daniel37@example.org,+1-331-374-6120x047,New Derek,New Jersey,NORTH,VIP,2024-10-02
44,Mary Bass,umatthews@example.org,+1-764-205-3773x515,Hillville,New Jersey,SOUTH,REGULAR,2022-05-18
45,Gavin Zhang,darleneharper@example.org,001-431-283-9335,Micheleberg,Florida,SOUTH,VIP,2026-03-12
46,Richard Young,lauren10@example.org,302-940-2681x17758,New Bradley,Texas,NORTH,VIP,2026-01-13
47,Jessica Rodriguez,stephen00@example.com,001-771-815-9212x499,Shawnchester,Connecticut,NORTH,REGULAR,2022-07-28
48,Jesse Perry,russellbeasley@example.com,356-354-5271,South Colinstad,Florida,EAST,REGULAR,2026-05-01
49,Jennifer Russo,willisanna@example.com,001-360-749-4519x83273,Dannyview,Oregon,NORTH,REGULAR,2023-07-10
50,Maria Johnson,xbruce@example.net,+1-440-224-4550x22961,Lake Alyssafurt,Nebraska,NORTH,VIP,2025-06-16
51,Sophia Moore,eric45@example.net,001-390-714-7679x76438,Rodriguezshire,New York,SOUTH,VIP,2026-01-30
52,Eric Clark,brandon69@example.org,(444)851-0762,New Angelica,Texas,SOUTH,PREMIUM,2024-08-11
53,Thomas Atkins,sandersjudy@example.com,001-769-466-4160,Collierstad,Colorado,WEST,REGULAR,2025-04-24
54,Seth Reese,sanchezbrianna@example.net,752.718.1883,East Curtis,Kentucky,SOUTH,VIP,2023-04-11
55,Trevor Burton,carriewolf@example.net,999.679.9552x717,Brittanystad,North Carolina,EAST,PREMIUM,2022-03-25
56,Angela Lin,steven00@example.com,999-586-7980,Cassidyhaven,Georgia,WEST,REGULAR,2022-02-15
57,Matthew Williams,vgarcia@example.net,001-777-288-9255x466,Cameronville,Oklahoma,NORTH,PREMIUM,2024-11-20
58,Matthew Rangel,johnathan92@example.com,762-291-4865x2816,Kyleborough,Michigan,SOUTH,VIP,2025-09-25
59,Richard Romero,jeremytaylor@example.org,+1-480-459-2962,Lake Samuel,Nebraska,NORTH,VIP,2024-09-11
60,Cynthia Allen,tarabishop@example.net,435.697.7468x8623,Lake Timothystad,Oklahoma,SOUTH,REGULAR,2022-06-21
61,Jose Guerra,mitchellkathryn@example.com,737-550-6068,Vangstad,Iowa,EAST,REGULAR,2021-11-02
62,Thomas Kennedy,sarah52@example.org,(477)890-1043,Port Keithport,Delaware,EAST,VIP,2022-01-02
63,Russell Porter,robertbauer@example.com,+1-708-593-2460,Lopezland,North Dakota,SOUTH,VIP,2024-08-31
64,Jeanette Harrison,ashleyamy@example.net,+1-265-740-5153x1952,Lisaburgh,Wyoming,WEST,REGULAR,2025-07-20
65,Ricardo Ellis,zwelch@example.org,530-630-5486x8740,Michelleton,Tennessee,WEST,REGULAR,2024-06-03
66,Stephanie Hughes,david56@example.com,(877)458-4161,Manuelland,Massachusetts,WEST,PREMIUM,2024-02-11
67,Jeremy Acosta,sean62@example.net,(996)240-1658x202,North Joel,Tennessee,WEST,VIP,2024-09-18
68,Jerry Watson,patrick90@example.net,419.928.5654x310,Mcintyreville,Kentucky,NORTH,REGULAR,2023-10-24
69,Yvonne Gonzalez,nlewis@example.com,(617)627-1551,Lake Jenna,Vermont,EAST,REGULAR,2023-01-29
70,Johnny Ward,william13@example.org,001-857-982-9114,Hammondshire,California,SOUTH,VIP,2022-08-31
71,Bethany Calderon,dawn77@example.net,+1-492-626-8018,East Marcus,Virginia,WEST,REGULAR,2023-07-08
72,Mark Pierce,stacey84@example.org,(449)481-8299,Meganshire,Arizona,SOUTH,REGULAR,2021-11-03
73,Daniel Armstrong,williamsdarlene@example.net,+1-207-484-4736x471,Perrymouth,Indiana,NORTH,REGULAR,2024-06-28
74,Haley Ross PhD,larryhiggins@example.net,881.853.7147x32104,Port Rachel,Massachusetts,NORTH,REGULAR,2026-07-06
75,Shawn Jimenez,james27@example.net,268-673-3950,Harperfort,Maine,SOUTH,REGULAR,2026-03-01
76,Pamela Diaz,booneryan@example.com,(609)383-5841x6878,North Phillip,Michigan,WEST,REGULAR,2026-05-06
77,Andrew Williams,kari39@example.net,001-457-887-2982x595,Brittneyhaven,North Carolina,NORTH,REGULAR,2026-02-15
78,Isabella Nunez,terickson@example.com,(894)409-7499x30972,North Ashley,Vermont,WEST,PREMIUM,2022-07-14
79,Damon Shaw,andrewedwards@example.org,+1-470-928-3857x865,Amyview,South Carolina,WEST,PREMIUM,2025-09-19
80,William Evans,susanramirez@example.com,837-757-5844x1986,West Bobby,Virginia,WEST,REGULAR,2022-04-09
81,Joshua Fitzpatrick,sandra47@example.org,001-242-319-9330x833,Riverafort,Connecticut,SOUTH,REGULAR,2022-10-08
82,Timothy Johns,oconnelltiffany@example.org,434.254.0193x8026,Frenchburgh,West Virginia,NORTH,VIP,2024-01-23
83,Frances Gibson,smithashley@example.org,+1-688-472-8743x1527,Lake Matthewport,Oregon,NORTH,VIP,2023-03-30
84,Kaylee Miller,cherylfowler@example.com,+1-612-227-5304x63745,Desireebury,Arkansas,SOUTH,REGULAR,2022-08-09
85,Stephanie Padilla,zparker@example.net,814-959-3327x2795,Port John,Wisconsin,NORTH,REGULAR,2022-04-18
86,Ashley Poole,xrice@example.org,939.282.2587x13971,Andersonchester,New Jersey,NORTH,VIP,2026-05-25
87,Jennifer Velasquez,hansenemily@example.com,001-639-810-6518x0170,Port Derek,Tennessee,WEST,REGULAR,2025-03-05
88,Michael Stanley,victoria67@example.com,+1-525-212-8682,West Stevenside,Nevada,SOUTH,VIP,2026-02-14
89,Donald Pineda,pmorrow@example.com,001-210-569-0331x1907,South Scottside,Indiana,NORTH,PREMIUM,2022-01-29
90,Laura Barton,williamroberts@example.net,934-228-3644x08926,Shellyfurt,North Dakota,EAST,PREMIUM,2024-04-23
91,Joshua Allen,trussell@example.com,442.870.8668,West James,Tennessee,EAST,REGULAR,2022-04-09
92,Cheryl Adams,fboone@example.net,+1-599-501-3983x73540,Lake Yvonnefort,Kansas,SOUTH,VIP,2023-05-04
93,Jamie Ferguson,jherman@example.com,(744)858-7717x535,New Michelleberg,Alaska,WEST,PREMIUM,2023-10-26
94,Kelly Sanchez,mphillips@example.com,+1-454-977-7252,New Veronica,Arkansas,NORTH,REGULAR,2026-01-20
95,Aaron Taylor,combscharles@example.net,+1-931-220-3875x0997,New Andreatown,Alaska,NORTH,REGULAR,2026-02-06
96,Megan Drake,amanda40@example.net,(611)782-3398,Lauraland,Mississippi,EAST,REGULAR,2025-01-19
97,Ronald Miller,scunningham@example.org,+1-801-766-6870x0217,New Samanthabury,Indiana,NORTH,REGULAR,2026-06-02
98,Stephanie Elliott,enelson@example.net,6254039261,New Mary,Missouri,SOUTH,PREMIUM,2026-03-13
99,Haley Davis,patrick21@example.net,615.999.9650,Perezside,Missouri,EAST,VIP,2025-04-09
100,Elizabeth Wright,eringuerrero@example.org,314-326-2655,West Seanview,Connecticut,NORTH,VIP,2022-09-22
101,Ashley Davis,lopezshane@example.net,+1-819-395-6046,New Adriana,Utah,EAST,VIP,2024-11-01
102,Christopher Hill,dominicturner@example.com,671-254-3799x3712,Cookfurt,Michigan,SOUTH,PREMIUM,2025-05-05
103,Travis Harris,ryan92@example.com,526-454-7935x64651,Lake Stevenborough,New Hampshire,NORTH,VIP,2024-01-29
104,Brenda Turner,fuenteslaura@example.com,826-261-7979x688,Jacquelineside,Rhode Island,EAST,PREMIUM,2022-04-28
105,Lonnie Hart,mackdiane@example.com,+1-565-961-0143x8889,Petershire,Vermont,EAST,REGULAR,2025-11-08
